IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
176001938,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,1/2/17 0:00,6:00:00,TARAVAL,NONE,0 Block of SARGENT ST,37.71608356,-122.4631685
176002823,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/4/17 0:00,9:20:00,NORTHERN,NONE,3200 Block of DIVISADERO ST,37.79948967,-122.4428172
176002873,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,1/3/17 0:00,18:30:00,NORTHERN,NONE,CALIFORNIA ST / FRANKLIN ST,37.79016093,-122.4239762
176002908,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/4/17 0:00,0:51:00,NORTHERN,NONE,100 Block of FRANKLIN ST,37.77547246,-122.4209383
176002914,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,1/3/17 0:00,17:00:00,NORTHERN,NONE,1200 Block of LAGUNA ST,37.78228126,-122.4275119
176003702,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/1/17 0:00,19:00:00,SOUTHERN,NONE,100 Block of 6TH ST,37.78077843,-122.4083686
176003718,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/1/17 0:00,1:00:00,CENTRAL,NONE,PINE ST / HYDE ST,37.7900459,-122.4172096
170129873,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,2/14/17 0:00,22:57:00,CENTRAL,"ARREST, BOOKED",1600 Block of HYDE ST,37.795993,-122.4184706
176008649,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/7/17 0:00,1:05:00,BAYVIEW,NONE,1700 Block of REVERE AV,37.73307817,-122.3927758
176008702,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/4/17 0:00,15:07:00,INGLESIDE,NONE,400 Block of CORTLAND AV,37.73903628,-122.4168297
170252145,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,3/27/17 0:00,17:55:00,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,37.77254054,-122.4662047
176012640,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,1/13/17 0:00,20:45:00,MISSION,NONE,20TH ST / SOUTH VAN NESS AV,37.75876402,-122.4168729
170258739,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,3/28/17 0:00,20:00:00,INGLESIDE,NONE,3100 Block of ALEMANY BL,37.71012554,-122.4559733
170809699,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,10/4/17 0:00,12:00:00,SOUTHERN,NONE,1400 Block of HARRISON ST,37.77105622,-122.4118417
176015365,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,1/16/17 0:00,22:00:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176015387,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,1/16/17 0:00,20:00:00,CENTRAL,NONE,LOMBARD ST / LEAVENWORTH ST,37.80220232,-122.4179701
176018347,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,1/19/17 0:00,19:46:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176018369,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,1/17/17 0:00,15:45:00,CENTRAL,NONE,THE EMBARCADERONORTH ST / GREEN ST,37.800781,-122.398862
176018375,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,1/20/17 0:00,20:10:00,MISSION,NONE,2900 Block of 19TH ST,37.7604595,-122.4113464
176018381,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/18/17 0:00,21:35:00,MISSION,NONE,MARKET ST / CHURCH ST,37.76750273,-122.42895
176018397,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,1/19/17 0:00,10:15:00,MISSION,NONE,PROSPER ST / 16TH ST,37.76270256,-122.431545
170264225,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,3/31/17 0:00,15:15:00,BAYVIEW,NONE,200 Block of TOPEKA AV,37.73298125,-122.3972287
176018767,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,1/20/17 0:00,14:30:00,PARK,NONE,7TH AV / LINCOLN WY,37.7660152,-122.4642997
170790957,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,9/26/17 0:00,20:00:00,CENTRAL,NONE,800 Block of CHESTNUT ST,37.80329385,-122.4173578
176018911,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,1/20/17 0:00,12:00:00,NORTHERN,NONE,3200 Block of PIERCE ST,37.79993194,-122.4393685
170769930,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/20/17 0:00,20:10:00,CENTRAL,NONE,BAY ST / THE EMBARCADERONORTH ST,37.80661715,-122.4055651
170770006,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/20/17 0:00,20:00:00,BAYVIEW,NONE,400 Block of BAY SHORE BL,37.73940125,-122.4068443
176020342,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/21/17 0:00,14:13:00,MISSION,NONE,300 Block of POTRERO AV,37.76512698,-122.4074069
176020433,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/22/17 0:00,8:45:00,CENTRAL,NONE,THE EMBARCADERONORTH ST / SANSOME ST,37.80541292,-122.4035919
176020477,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/22/17 0:00,2:00:00,CENTRAL,NONE,600 Block of BROADWAY ST,37.79777736,-122.4078434
176020483,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/21/17 0:00,15:30:00,CENTRAL,NONE,600 Block of TAYLOR ST,37.78832354,-122.411857
170149746,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,2/21/17 0:00,18:55:00,MISSION,"ARREST, BOOKED",2300 Block of 16TH ST,37.76571844,-122.4095299
176020847,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/18/17 0:00,12:00:00,RICHMOND,NONE,1000 Block of POINTLOBOS AV,37.77846922,-122.5136421
176020853,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/18/17 0:00,19:45:00,RICHMOND,NONE,1000 Block of GREAT HY,37.76724422,-122.5102257
176020869,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,1/18/17 0:00,20:00:00,RICHMOND,NONE,1000 Block of GREAT HY,37.76724422,-122.5102257
170267213,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,4/1/17 0:00,7:00:00,INGLESIDE,NONE,GAMBIER ST / SILLIMAN ST,37.72685421,-122.4218531
170460780,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,6/5/17 0:00,11:45:00,NORTHERN,NONE,1100 Block of FILLMORE ST,37.78003044,-122.4321162
176020994,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,1/23/17 0:00,11:45:00,RICHMOND,NONE,200 Block of MARTIN LUTHER KING JR DR,37.76695917,-122.4624894
176021005,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,1/12/17 0:00,2:22:00,SOUTHERN,NONE,800 Block of BRYANT ST,37.77542071,-122.4034048
176022730,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,1/26/17 0:00,20:15:00,NORTHERN,NONE,GEARY BL / LAGUNA ST,37.78495312,-122.4279912
176022962,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,1/22/17 0:00,23:00:00,NORTHERN,NONE,0 Block of BUCHANAN ST,37.7700779,-122.4265928
176023017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,1/10/17 0:00,20:30:00,INGLESIDE,NONE,5200 Block of DIAMONDHEIGHTS BL,37.74427748,-122.4390659
176023023,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,1/20/17 0:00,17:45:00,INGLESIDE,NONE,CORTLAND AV / ANDOVER ST,37.73905608,-122.4164579
170273549,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,4/3/17 0:00,18:45:00,CENTRAL,NONE,NORTHPOINT ST / LARKIN ST,37.80549603,-122.422009
